Sondeo;X;Y;Z;Profundidad;RQD;Venillas;Panilla;Bregada;Torcida;Laminaciones;Microfracturas;Pirita;Oxidacion;PBrava;Cuarcita;Hebra;Quemado;Alteracion;Calidad
15;687803.921;4695568.333;886.835;42;0;10;5;10;10;10;2;10;10;3;10;10;10;10;3
15;687803.921;4695568.333;886.585;42.25;0;10;10;10;10;10;10;10;4;2;10;10;10;10;3
15;687803.921;4695568.333;886.335;42.5;0;10;10;10;10;10;3;10;4;1;10;10;10;10;3
15;687803.921;4695568.333;886.085;42.75;72;10;10;10;10;10;10;8;10;4;10;7;10;10;3
15;687803.921;4695568.333;885.835;43;72;10;6;10;10;10;10;10;10;4;10;10;10;10;3
15;687803.921;4695568.333;885.585;43.25;72;10;10;3;10;10;5;10;10;4;10;10;10;10;3
15;687803.921;4695568.333;885.335;43.5;72;10;10;4;10;10;10;8;10;4;10;6;10;10;3
15;687803.921;4695568.333;885.085;43.75;72;10;5;10;10;10;6;8;10;4;10;10;10;10;3
15;687803.921;4695568.333;884.835;44;72;10;10;10;10;10;10;10;10;3;10;7;10;10;3
15;687803.921;4695568.333;884.585;44.25;72;10;10;10;10;10;10;10;10;4;10;5;10;10;3
15;687803.921;4695568.333;884.335;44.5;72;10;10;10;10;10;10;10;2;4;10;10;10;10;3
15;687803.921;4695568.333;884.085;44.75;72;10;10;10;10;10;10;10;10;4;10;10;10;10;3
15;687803.921;4695568.333;883.835;45;72;10;10;10;10;10;10;10;10;4;10;10;10;10;3
15;687803.921;4695568.333;883.585;45.25;72;10;10;10;10;10;10;9;10;4;10;10;10;10;3
15;687803.921;4695568.333;883.335;45.5;72;10;10;10;10;10;10;9;10;7;10;10;10;10;2
15;687803.921;4695568.333;883.085;45.75;72;10;10;10;10;10;10;10;10;5;10;6;10;10;2
15;687803.921;4695568.333;882.835;46;91;10;10;10;10;10;10;10;10;4;10;4;10;10;3
15;687803.921;4695568.333;882.585;46.25;91;10;10;10;10;10;10;10;10;8;10;4;10;10;3
15;687803.921;4695568.333;882.335;46.5;91;10;10;4;10;10;10;10;10;2;10;3;10;10;3
15;687803.921;4695568.333;882.085;46.75;0;10;10;2;10;10;4;10;5;3;10;10;10;10;3
15;687803.921;4695568.333;881.835;47;0;10;10;10;10;10;10;7;10;7;10;5;10;10;3
15;687803.921;4695568.333;881.585;47.25;63;10;10;2;10;10;3;10;4;2;10;10;10;10;3
15;687803.921;4695568.333;881.335;47.5;63;10;10;10;10;10;10;8;10;7;10;7;10;10;2
15;687803.921;4695568.333;881.085;47.75;92;10;10;6;10;10;10;8;10;7;10;10;10;10;2
15;687803.921;4695568.333;880.835;48;92;10;10;10;10;10;10;8;10;8;10;7;10;10;2
15;687803.921;4695568.333;880.585;48.25;92;10;10;10;10;10;4;9;4;7;10;10;10;10;3
15;687803.921;4695568.333;880.335;48.5;92;10;10;10;10;10;10;9;10;10;10;9;10;10;1
15;687803.921;4695568.333;880.085;48.75;92;10;10;4;10;10;10;10;10;5;10;4;10;10;3
15;687803.921;4695568.333;879.835;49;92;10;8;10;10;10;10;10;10;9;10;10;10;10;1
15;687803.921;4695568.333;879.585;49.25;92;10;10;4;10;10;10;10;10;9;10;10;10;10;3
15;687803.921;4695568.333;879.335;49.5;92;10;10;4;10;10;10;10;10;3;10;10;10;10;3
15;687803.921;4695568.333;879.085;49.75;92;10;10;10;10;10;10;9;10;10;10;10;10;10;1
15;687803.921;4695568.333;878.835;50;92;10;10;10;10;10;10;9;10;10;10;10;10;10;1
15;687803.921;4695568.333;878.585;50.25;92;10;10;10;10;10;10;9;10;10;10;6;10;10;2
