Sondeo;X;Y;Z;RQD;Quartz Veins;Crenulation Schistosity;Kink Bands;Twisted Slate;Sandy Laminations;Microfractures;Oxidation;Rough Cleavage;Alteration;Quality
15;687803.921;4695568.333;886.835;0;10;5;10;10;10;2;10;3;10;3
15;687803.921;4695568.333;886.585;0;10;10;10;10;10;10;4;2;10;3
15;687803.921;4695568.333;886.335;0;10;10;10;10;10;3;4;1;10;3
15;687803.921;4695568.333;886.085;72;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;885.835;72;10;6;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;885.585;72;10;10;3;10;10;5;10;4;10;3
15;687803.921;4695568.333;885.335;72;10;10;4;10;10;10;10;4;10;3
15;687803.921;4695568.333;885.085;72;10;5;10;10;10;6;10;4;10;3
15;687803.921;4695568.333;884.835;72;10;10;10;10;10;10;10;3;10;3
15;687803.921;4695568.333;884.585;72;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;884.335;72;10;10;10;10;10;10;2;4;10;3
15;687803.921;4695568.333;884.085;72;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;883.835;72;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;883.585;72;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;883.335;72;10;10;10;10;10;10;10;7;10;2
15;687803.921;4695568.333;883.085;72;10;10;10;10;10;10;10;5;10;2
15;687803.921;4695568.333;882.835;91;10;10;10;10;10;10;10;4;10;3
15;687803.921;4695568.333;882.585;91;10;10;10;10;10;10;10;8;10;3
15;687803.921;4695568.333;882.335;91;10;10;4;10;10;10;10;2;10;3
15;687803.921;4695568.333;882.085;0;10;10;2;10;10;4;5;3;10;3
15;687803.921;4695568.333;881.835;0;10;10;10;10;10;10;10;7;10;3
15;687803.921;4695568.333;881.585;63;10;10;2;10;10;3;4;2;10;3
15;687803.921;4695568.333;881.335;63;10;10;10;10;10;10;10;7;10;2
15;687803.921;4695568.333;881.085;92;10;10;6;10;10;10;10;7;10;2
15;687803.921;4695568.333;880.835;92;10;10;10;10;10;10;10;8;10;2
15;687803.921;4695568.333;880.585;92;10;10;10;10;10;4;4;7;10;3
15;687803.921;4695568.333;880.335;92;10;10;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;880.085;92;10;10;4;10;10;10;10;5;10;3
15;687803.921;4695568.333;879.835;92;10;8;10;10;10;10;10;9;10;1
15;687803.921;4695568.333;879.585;92;10;10;4;10;10;10;10;9;10;3
15;687803.921;4695568.333;879.335;92;10;10;4;10;10;10;10;3;10;3
15;687803.921;4695568.333;879.085;92;10;10;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;878.835;92;10;10;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;878.585;92;10;10;10;10;10;10;10;10;10;2
15;687803.921;4695568.333;878.335;92;10;10;10;10;10;10;10;8;10;1
15;687803.921;4695568.333;878.085;92;10;10;10;10;10;10;10;8;10;1
15;687803.921;4695568.333;877.835;92;10;10;7;10;10;10;10;8;10;2
15;687803.921;4695568.333;877.585;92;10;10;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;877.335;92;10;10;7;10;10;10;10;9;10;2
15;687803.921;4695568.333;877.085;92;10;10;3;10;10;10;10;3;10;3
15;687803.921;4695568.333;876.835;92;10;10;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;876.585;92;10;10;10;10;10;10;10;7;10;2
15;687803.921;4695568.333;876.335;92;10;9;10;10;10;10;10;10;10;1
15;687803.921;4695568.333;876.085;43;10;9;7;10;10;10;10;10;10;3
15;687803.921;4695568.333;875.835;43;10;4;4;10;10;10;8;10;10;3
15;687803.921;4695568.333;875.585;43;10;10;10;10;10;10;10;8;10;3
15;687803.921;4695568.333;875.335;43;10;10;4;10;10;6;10;7;10;3
15;687803.921;4695568.333;875.085;43;10;4;4;10;10;6;10;5;10;3
15;687803.921;4695568.333;874.835;43;10;6;10;5;10;10;10;10;10;3
15;687803.921;4695568.333;874.585;43;10;7;10;10;10;10;10;8;10;3
15;687803.921;4695568.333;874.335;43;10;4;10;10;10;10;10;5;10;3
15;687803.921;4695568.333;874.085;43;10;3;10;10;10;10;10;10;10;3
15;687803.921;4695568.333;873.835;43;10;10;10;10;10;10;10;7;10;3
15;687803.921;4695568.333;873.585;43;10;10;10;10;10;10;10;7;10;3
15;687803.921;4695568.333;873.335;43;10;4;2;10;10;10;10;3;10;3
15;687803.921;4695568.333;873.085;43;10;9;8;10;10;4;10;10;10;3
